id,voto,recensione,piatti
3ae4f2da-fc48-4d09-9e47-632425b9f77d,5,Uramaki Yuzu Salmon equilibrato: la nota agrumata esalta il salmone senza coprirlo.,['Uramaki Yuzu Salmon']
1899c366-98a7-4f3e-98b1-a5399cc4ab8b,5,Gamberi Croccanti Panko super leggeri e la maionese al wasabi è dosata bene.,['Gamberi Croccanti Panko']
fa233e1b-75c8-469f-8a96-ac1d76cf5856,4,"Rainbow Veg Bowl ricca di verdure e tofu croccante, porzione abbondante.",['Rainbow Veg Bowl']
1891e014-cb6c-4ccb-80ff-76764833e9b4,5,"Tartare Tonno Shichimi freschissima, piccantezza piacevole.",['Tartare Tonno Shichimi']
9bcae9ce-0c07-4c56-b178-891f105f9051,5,"Percorso Degustazione Luna bilanciato tra crudo e caldo, porzioni giuste per due.",['Percorso Degustazione Luna']
7320de30-8eda-4981-87b7-848a30fb63b0,4,"Miso Bowl Arrosto confortante, brodo delicato e verdure ben cotte.",['Miso Bowl Arrosto']
4495ad45-de20-4144-b350-709a8f824c70,5,"Ceviche Tropicale freschissimo, mango e cocco danno un bel contrasto.",['Ceviche Tropicale']
062f7c57-a60d-474d-abfd-13de0c87a02c,4,"Ramen Shoyu Vegetale saporito, shiitake protagonisti e noodles al dente.",['Ramen Shoyu Vegetale']
986e9f07-4ce1-478d-beb2-b59630d7dec8,5,"Mochi Yuzu delicati e non troppo dolci, perfetti dopo il sushi.",['Mochi Yuzu']
1a66be54-715e-4579-b456-0c0c53351514,4,"Uramaki Green Garden gustoso anche senza pesce, tofu affumicato sorprendente.",['Uramaki Green Garden']
5cb8883e-dd06-4394-a68b-060c05d5a2f4,4,"Birra Lager di Riso leggera, sta bene con i gyoza e i roll fritti.",['Birra Lager di Riso']
45da9829-9617-4001-b5ee-6336e31d0b12,5,"Roll di Manzo Tataki tenero e saporito, ottimo se vuoi qualcosa di diverso dal pesce.",['Roll di Manzo Tataki']
